course_id,course_title,url,level,subject,,,
746432,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,All Levels,Business Finance,,,
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,Expert Level,Business Finance,,,
284118,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,All Levels,Business Finance,,,
302562,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,Beginner Level,Business Finance,,,
596598,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,Beginner Level,Business Finance,,,
860890,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,All Levels,Business Finance,,,
951050,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,All Levels,Business Finance,,,
796450,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,All Levels,Business Finance,,,
502772,The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,All Levels,Business Finance,,,
1102462,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,Beginner Level,Business Finance,,,
1062092,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,All Levels,Business Finance,,,
891484,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,Intermediate Level,Business Finance,,,
1217064,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,Beginner Level,Business Finance,,,
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,All Levels,Business Finance,,,
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,Beginner Level,Business Finance,,,
474928,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,All Levels,Business Finance,,,
1148774,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,Beginner Level,Business Finance,,,
959144,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,Intermediate Level,Business Finance,,,
1233350,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,Beginner Level,Business Finance,,,
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,All Levels,Business Finance,,,
724062,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,Beginner Level,Business Finance,,,
474212,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,All Levels,Business Finance,,,
771276,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,Beginner Level,Business Finance,,,
388164,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,All Levels,Business Finance,,,
133536,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,Beginner Level,Business Finance,,,
655300,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,Beginner Level,Business Finance,,,
949504,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,All Levels,Business Finance,,,
265960,Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,All Levels,Business Finance,,,
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,Beginner Level,Business Finance,,,
923616,Website Investing 101 - Buying & Selling Online Businesses,https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/,All Levels,Business Finance,,,
741898,Practical Accounts & Bookkeeping Automated Overview,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,All Levels,Business Finance,,,
381330,Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,All Levels,Business Finance,,,
545918,Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,Beginner Level,Business Finance,,,
191854,Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,Beginner Level,Business Finance,,,
471546,Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,All Levels,Business Finance,,,
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,All Levels,Business Finance,,,
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,All Levels,Business Finance,,,
1191504,How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,All Levels,Business Finance,,,
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,All Levels,Business Finance,,,
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,Beginner Level,Business Finance,,,
151668,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,Intermediate Level,Business Finance,,,
1105344,Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,All Levels,Business Finance,,,
44836,Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,Expert Level,Business Finance,,,
840300,B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,All Levels,Business Finance,,,
1100054,FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,All Levels,Business Finance,,,
421054,Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,All Levels,Business Finance,,,
528784,Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,Intermediate Level,Business Finance,,,
637430,Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,Intermediate Level,Business Finance,,,
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,Expert Level,Business Finance,,,
777444,Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,Beginner Level,Business Finance,,,
474238,Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,Intermediate Level,Business Finance,,,
1245244,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,Beginner Level,Business Finance,,,
1051570,Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,All Levels,Business Finance,,,
262370,Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,All Levels,Business Finance,,,
1188178,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,All Levels,Business Finance,,,
824592,Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,All Levels,Business Finance,,,
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,All Levels,Business Finance,,,
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,Beginner Level,Business Finance,,,
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,All Levels,Business Finance,,,
252396,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,All Levels,Business Finance,,,
1198166,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,All Levels,Business Finance,,,
920604,Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,Beginner Level,Business Finance,,,
215728,Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,Beginner Level,Business Finance,,,
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,All Levels,Business Finance,,,
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,Beginner Level,Business Finance,,,
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,Beginner Level,Business Finance,,,
317030,Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,Intermediate Level,Business Finance,,,
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,Beginner Level,Business Finance,,,
1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,Intermediate Level,Business Finance,,,
812616,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,All Levels,Business Finance,,,
407984,Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,Beginner Level,Business Finance,,,
214046,Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,Beginner Level,Business Finance,,,
512400,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,All Levels,Business Finance,,,
377370,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,All Levels,Business Finance,,,
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,Beginner Level,Business Finance,,,
945750,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,All Levels,Business Finance,,,
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,All Levels,Business Finance,,,
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,Intermediate Level,Business Finance,,,
402836,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,Beginner Level,Business Finance,,,
588764,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,All Levels,Business Finance,,,
576946,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,Beginner Level,Business Finance,,,
543242,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,All Levels,Business Finance,,,
502240,"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,All Levels,Business Finance,,,
598266,Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,Beginner Level,Business Finance,,,
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,All Levels,Business Finance,,,
1076920,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,Beginner Level,Business Finance,,,
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,All Levels,Business Finance,,,
441112,Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,All Levels,Business Finance,,,
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,All Levels,Business Finance,,,
1028030,Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,All Levels,Business Finance,,,
